,xmin,ymin,xmax,ymax,label,file,width,height,annotation_file,image_file,cropped_image_file
0,79,105,109,142,without_mask,maksssksksss0,512,366,maksssksksss0.xml,maksssksksss0.png,maksssksksss0-0.png
1,185,100,226,144,with_mask,maksssksksss0,512,366,maksssksksss0.xml,maksssksksss0.png,maksssksksss0-1.png
2,325,90,360,141,without_mask,maksssksksss0,512,366,maksssksksss0.xml,maksssksksss0.png,maksssksksss0-2.png
3,321,34,354,69,with_mask,maksssksksss1,400,156,maksssksksss1.xml,maksssksksss1.png,maksssksksss1-3.png
4,224,38,261,73,with_mask,maksssksksss1,400,156,maksssksksss1.xml,maksssksksss1.png,maksssksksss1-4.png
5,299,58,315,81,with_mask,maksssksksss1,400,156,maksssksksss1.xml,maksssksksss1.png,maksssksksss1-5.png
6,143,74,174,115,with_mask,maksssksksss1,400,156,maksssksksss1.xml,maksssksksss1.png,maksssksksss1-6.png
7,74,69,95,99,with_mask,maksssksksss1,400,156,maksssksksss1.xml,maksssksksss1.png,maksssksksss1-7.png
8,191,67,221,93,with_mask,maksssksksss1,400,156,maksssksksss1.xml,maksssksksss1.png,maksssksksss1-8.png
9,21,73,44,93,with_mask,maksssksksss1,400,156,maksssksksss1.xml,maksssksksss1.png,maksssksksss1-9.png
10,369,70,398,99,with_mask,maksssksksss1,400,156,maksssksksss1.xml,maksssksksss1.png,maksssksksss1-10.png
11,83,56,111,89,without_mask,maksssksksss1,400,156,maksssksksss1.xml,maksssksksss1.png,maksssksksss1-11.png
12,98,267,194,383,with_mask,maksssksksss10,301,400,maksssksksss10.xml,maksssksksss10.png,maksssksksss10-12.png
13,189,30,245,88,with_mask,maksssksksss100,400,226,maksssksksss100.xml,maksssksksss100.png,maksssksksss100-13.png
14,387,54,400,75,with_mask,maksssksksss100,400,226,maksssksksss100.xml,maksssksksss100.png,maksssksksss100-14.png
15,118,87,163,126,with_mask,maksssksksss100,400,226,maksssksksss100.xml,maksssksksss100.png,maksssksksss100-15.png
16,48,294,164,400,with_mask,maksssksksss101,301,400,maksssksksss101.xml,maksssksksss101.png,maksssksksss101-16.png
17,212,57,251,106,with_mask,maksssksksss102,400,225,maksssksksss102.xml,maksssksksss102.png,maksssksksss102-17.png
18,42,54,94,110,with_mask,maksssksksss103,400,300,maksssksksss103.xml,maksssksksss103.png,maksssksksss103-18.png
